ExpirationDate: 02\18\2021
Ticker: GOOGL
2215,100.05,152.75,158.25,0,0,1,0,0.297134
2220,144,150,159.5,0,0,1,14,0.301015
2225,80.35,146.4,153.3,0,0,0,0,0.294937
2230,141.97,146,155.5,0,0,10,24,0.300056
2245,123.45,144.3,149.35,0,0,0,3,0.298261
2250,111.5,138.5,148.5,0,0,1,177,0.299236
2260,161.2,134.5,144.5,0,0,0,13,0.29803
2265,111,132.5,142.5,0,0,2,5,0.297397
2270,96.56,131,141,0,0,1,10,0.297418
2275,68.35,130.3,134.65,0,0,1,0,0.290824
2280,164.8,126.5,134.55,0,0,10,10,0.292705
2285,71.3,126,135.5,0,0,2,3,0.296008
2290,91,124,134,0,0,1,14,0.295953
2295,119.88,122.5,132.5,0,0,2,4,0.295879
2300,129.93,121,130.5,12.83,10.9564,1,120,0.295099
2350,109.5,105.5,115.5,1.4,1.2951,1,21,0.293102
2400,96.5,92,101.5,-1.5,-1.53061,2,47,0.290603
2600,54,49.5,58.65,-2,-3.57143,3,69,0.282115
2700,40,35.85,43.5,0,0,2,201,0.278003
2800,22.47,26.45,32.8,0,0,1,328,0.276588
2900,21.72,19.75,25.05,0,0,4,101,0.276702
3000,17.5,15,19.5,0,0,6,333,0.278274
3100,14,11.65,15.55,0,0,4,108,0.281219
3200,11.05,9.25,12.05,0.55,5.2381,22,210,0.282302
-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08

Ticker: MMM
135,20.7,24.35,28.45,0,0,1,31,0.410834
100,49.5,49.25,53.85,0,0,0,1,0.493596
80,67.73,67.1,70.55,0,0,0,2,0.53333
115,23,37.9,41.8,0,0,1,1,0.446722
125,19.5,30.95,34.75,0,0,0,1,0.426947
145,17.5,13.2,16.5,0,0,0,1,0.277534
130,19.12,27.3,31.35,0,0,10,11,0.415289
140,17,21.15,25.3,0,0,5,11,0.39823
150,18.4,15.5,19.85,0,0,3,12,0.380194
155,10.98,13.45,17.35,0,0,1,2,0.370673
160,13.07,11.2,15.25,0,0,1,7,0.365241
165,5.48,9,13.45,0,0,4,11,0.362189
170,8.14,7.45,11.75,0,0,1,9,0.357947
180,7.34,3.55,7.55,0,0,8,42,0.323676
185,4.6,3.45,7.85,0,0,1,5,0.351081
190,4.2,3.75,5.2,0,0,0,0,0.312202
195,1.71,0.87,5.15,0,0,2,2,0.328986
200,2.66,0.34,4.15,0.13,5.13834,1,126,0.320624
210,1.05,0.31,3.85,0,0,0,2,0.343329
-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08,-4.31602e+08

